Year,Storm,Province,concurrent_storms_combined_intensity,concurrent_storms_count,days_since_last_storm,has_concurrent_storm,nearest_concurrent_storm_distance,storms_past_30_days
2010,Basyang,Rizal,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Romblon,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Samar,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Sarangani,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Siquijor,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Sorsogon,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,South Cotabato,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Southern Leyte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Sultan Kudarat,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Sulu,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Surigao del Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Surigao del Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Tarlac,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Tawi-Tawi,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Zambales,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Zamboanga del Norte,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Zamboanga del Sur,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Basyang,Zamboanga Sibugay,71.87856603773585,1,105.0,1,1698.9931099859941,0
2010,Caloy,Abra,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Agusan del Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Agusan del Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Aklan,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Albay,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Antique,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Apayao,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Aurora,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Basilan,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Bataan,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Batanes,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Batangas,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Benguet,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Biliran,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Bohol,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Bukidnon,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Bulacan,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Cagayan,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Camarines Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Camarines Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Camiguin,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Capiz,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Catanduanes,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Cavite,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Cebu,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Cotabato,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Davao de Oro,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Davao del Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Davao del Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Davao Occidental,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Davao Oriental,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Dinagat Islands,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Eastern Samar,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Guimaras,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Ifugao,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Ilocos Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Ilocos Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Iloilo,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Isabela,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Kalinga,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,La Union,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Laguna,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Lanao del Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Lanao del Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Leyte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Maguindanao del Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Maguindanao del Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Marinduque,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Masbate,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Metro Manila,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Misamis Occidental,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Misamis Oriental,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Mountain Province,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Negros Occidental,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Negros Oriental,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Northern Samar,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Nueva Ecija,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Nueva Vizcaya,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Occidental Mindoro,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Oriental Mindoro,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Palawan,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Pampanga,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Pangasinan,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Quezon,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Quirino,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Rizal,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Romblon,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Samar,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Sarangani,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Siquijor,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Sorsogon,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,South Cotabato,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Southern Leyte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Sultan Kudarat,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Sulu,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Surigao del Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Surigao del Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Tarlac,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Tawi-Tawi,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Zambales,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Zamboanga del Norte,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Zamboanga del Sur,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Caloy,Zamboanga Sibugay,93.77587301587305,1,112.0,1,1698.9931099859941,0
2010,Ester,Abra,0.0,0,13.0,0,-999.0,2
2010,Ester,Agusan del Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Agusan del Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Aklan,0.0,0,13.0,0,-999.0,2
2010,Ester,Albay,0.0,0,13.0,0,-999.0,2
2010,Ester,Antique,0.0,0,13.0,0,-999.0,2
2010,Ester,Apayao,0.0,0,13.0,0,-999.0,2
2010,Ester,Aurora,0.0,0,13.0,0,-999.0,2
2010,Ester,Basilan,0.0,0,13.0,0,-999.0,2
2010,Ester,Bataan,0.0,0,13.0,0,-999.0,2
2010,Ester,Batanes,0.0,0,13.0,0,-999.0,2
2010,Ester,Batangas,0.0,0,13.0,0,-999.0,2
2010,Ester,Benguet,0.0,0,13.0,0,-999.0,2
2010,Ester,Biliran,0.0,0,13.0,0,-999.0,2
2010,Ester,Bohol,0.0,0,13.0,0,-999.0,2
2010,Ester,Bukidnon,0.0,0,13.0,0,-999.0,2
2010,Ester,Bulacan,0.0,0,13.0,0,-999.0,2
2010,Ester,Cagayan,0.0,0,13.0,0,-999.0,2
2010,Ester,Camarines Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Camarines Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Camiguin,0.0,0,13.0,0,-999.0,2
2010,Ester,Capiz,0.0,0,13.0,0,-999.0,2
2010,Ester,Catanduanes,0.0,0,13.0,0,-999.0,2
2010,Ester,Cavite,0.0,0,13.0,0,-999.0,2
2010,Ester,Cebu,0.0,0,13.0,0,-999.0,2
2010,Ester,Cotabato,0.0,0,13.0,0,-999.0,2
2010,Ester,Davao de Oro,0.0,0,13.0,0,-999.0,2
2010,Ester,Davao del Norte,0.0,0,13.0,0,-999.0,2
2010,Ester,Davao del Sur,0.0,0,13.0,0,-999.0,2
2010,Ester,Davao Occidental,0.0,0,13.0,0,-999.0,2
2010,Ester,Davao Oriental,0.0,0,13.0,0,-999.0,2
