Year,Intl_Name,PH_Name,Peak_Category,Peak_Windspeed_kmh,Peak_Pressure_hPa,Date_Start,Date_End
2021,07W,Emong,Tropical depression,55.0,1004,2021-07-03,2021-07-06
2021,Lupit,Huaning,Tropical storm,85.0,984,2021-08-02,2021-08-09
2021,Omais,Isang,Tropical storm,85.0,994,2021-08-10,2021-08-23
2021,Mirinae,Gorio,Severe tropical storm,95.0,980,2021-08-03,2021-08-10
2021,Conson,Jolina,Severe tropical storm,95.0,992,2021-09-05,2021-09-13
2021,Chanthu,Kiko,Violent typhoon,215.0,905,2021-09-05,2021-09-18
2021,Lionrock,Lannie,Tropical storm,65.0,994,2021-10-05,2021-10-10
2021,Kompasu,Maring,Severe tropical storm,100.0,975,2021-10-07,2021-10-14
2021,,Nando,Tropical depression,,1002,2021-10-07,2021-10-08
2021,Rai,Odette,Violent typhoon,195.0,915,2021-12-11,2021-12-21
2022,Malakas,Basyang,Very strong typhoon,165.0,945,2022-04-06,2022-04-15
2022,Megi,Agaton,Tropical storm,75.0,996,2022-04-08,2022-04-12
2022,Chaba,Caloy,Typhoon,130.0,965,2022-06-28,2022-07-05
2022,Aere,Domeng,Tropical storm,85.0,994,2022-06-30,2022-07-04
2022,Trases,Ester,Tropical storm,65.0,998,2022-07-29,2022-08-01
2022,Hinnamnor,Henry,Violent typhoon,195.0,920,2022-08-27,2022-09-06
2022,13W,Gardo,Tropical depression,55.0,998,2022-08-30,2022-09-01
2022,Ma-on,Florita,Severe tropical storm,100.0,985,2022-08-20,2022-08-26
2022,Nanmadol,Josie,Violent typhoon,195.0,910,2022-09-12,2022-09-19
2022,Muifa,Inday,Very strong typhoon,155.0,950,2022-09-03,2022-09-15
2022,Roke,Luis,Typhoon,130.0,975,2022-09-28,2022-10-01
2022,Noru,Karding,Very strong typhoon,175.0,940,2022-09-21,2022-09-29
2022,Nesat,Neneng,Typhoon,140.0,965,2022-10-14,2022-10-20
2022,,Maymay,Tropical depression,,1002,2022-10-11,2022-10-12
2022,25W,Obet,Tropical depression,55.0,1006,2022-10-18,2022-10-23
2022,Nalgae,Paeng,Severe tropical storm,110.0,975,2022-10-26,2022-11-03
2022,Banyan,Queenie,Tropical storm,75.0,1002,2022-10-28,2022-11-03
2022,Pakhar,Rosal,Tropical storm,75.0,998,2022-12-10,2022-12-12
2023,,Amang,Tropical depression,55.0,1004,2023-04-10,2023-04-13
2023,Mawar,Betty,Violent typhoon,215.0,900,2023-05-19,2023-06-02
2023,Guchol,Chedeng,Typhoon,150.0,960,2023-06-06,2023-06-12
2023,Talim,Dodong,Severe tropical storm,110.0,970,2023-07-13,2023-07-18
2023,Doksuri,Egay,Very strong typhoon,185.0,925,2023-07-20,2023-07-30
2023,Khanun,Falcon,Very strong typhoon,175.0,930,2023-07-26,2023-08-10
2023,Saola,Goring,Violent typhoon,195.0,920,2023-08-22,2023-09-03
2023,Haikui,Hanna,Very strong typhoon,155.0,945,2023-08-27,2023-09-06
2023,Yun-yeung,Ineng,Tropical storm,75.0,998,2023-09-04,2023-09-09
2023,Koinu,Jenny,Very strong typhoon,165.0,940,2023-09-28,2023-10-09
2023,Jelawat,Kabayan,Tropical storm,65.0,1002,2023-12-15,2023-12-18
2024,Ewiniar,Aghon,Typhoon,140.0,970,2024-05-23,2024-05-30
2024,Prapiroon,Butchoy,Severe tropical storm,100.0,985,2024-07-20,2024-07-25
2024,Gaemi,Carina,Very strong typhoon,165.0,935,2024-07-19,2024-07-29
2024,Jongdari,Dindo,Tropical storm,75.0,996,2024-08-18,2024-08-22
2024,Yagi,Enteng,Violent typhoon,195.0,915,2024-08-31,2024-09-09
2024,Pulasan,Helen,Tropical storm,85.0,992,2024-09-15,2024-09-21
2024,Soulik,Gener,Tropical storm,65.0,992,2024-09-15,2024-09-20
2024,Bebinca,Ferdie,Typhoon,140.0,965,2024-09-09,2024-09-18
2024,Krathon,Julian,Violent typhoon,195.0,920,2024-09-26,2024-10-03
2024,17W,Igme,Tropical depression,55.0,1002,2024-09-20,2024-09-22
2024,Trami,Kristine,Severe tropical storm,110.0,970,2024-10-18,2024-10-29
2024,Kong-rey,Leon,Very strong typhoon,185.0,925,2024-10-24,2024-11-01
2024,Man-yi,Pepito,Violent typhoon,195.0,920,2024-11-07,2024-11-20
2024,Toraji,Nika,Typhoon,130.0,980,2024-11-08,2024-11-15
2024,Usagi,Ofel,Very strong typhoon,175.0,940,2024-11-09,2024-11-16
2024,Yinxing,Marce,Very strong typhoon,185.0,945,2024-11-02,2024-11-12
2024,,Querubin,Tropical depression,55.0,1004,2024-12-17,2024-12-19
2024,Pabuk,Romina,Tropical storm,65.0,1000,2024-12-21,2024-12-25
2025,,Auring,Tropical depression,55.0,1002,2025-06-11,2025-06-13
2025,Wipha,Crising,Severe tropical storm,110.0,970,2025-07-16,2025-07-23
2025,Francisco,Dante,Tropical storm,75.0,990,2025-07-22,2025-07-27
2025,Co-may,Emong,Typhoon,120.0,975,2025-07-23,2025-08-03
2025,Danas,Bising,Typhoon,140.0,965,2025-07-03,2025-07-11
2025,Podul,Gorio,Typhoon,150.0,960,2025-08-06,2025-08-15
2025,Kajiki,Isang,Typhoon,150.0,950,2025-08-22,2025-08-26
2025,Nongfa,Jacinto,Tropical storm,75.0,996,2025-08-27,2025-08-31
2025,Lingling,Huaning,Tropical storm,75.0,1000,2025-08-17,2025-08-23
2025,Peipah,Kiko,Tropical storm,85.0,992,2025-09-02,2025-09-05
2025,Ragasa,Nando,Violent typhoon,205.0,905,2025-09-17,2025-09-25
2025,Tapah,Lannie,Typhoon,120.0,975,2025-09-05,2025-09-09
2025,Mitag,Mirasol,Tropical storm,85.0,996,2025-09-16,2025-09-20
2025,Bualoi,Opong,Typhoon,140.0,965,2025-09-22,2025-09-29
2025,Matmo,Paolo,Typhoon,130.0,970,2025-10-01,2025-10-07
2025,Nakri,Quedan,Typhoon,130.0,970,2025-10-06,2025-10-14
2025,Fengshen,Ramil,Tropical storm,85.0,996,,
