Year,Intl_Name,PH_Name,Province,Deaths,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Category
2011,Aere,Bebeng,Zambales,0,288,0,0,0,0,12569360,Tropical storm
2011,Aere,Bebeng,Rizal,0,45,0,0,0,0,0,Tropical storm
2011,Aere,Bebeng,Camarines Norte,0,21275,20,868,888,508500000,16783466,Tropical storm
2011,Aere,Bebeng,Cebu,0,39,0,0,0,0,0,Tropical storm
2011,Aere,Bebeng,Eastern Samar,0,14250,0,45,45,0,0,Tropical storm
2011,Songda,Chedeng,Metro Manila,0,2725,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Isabela,0,126,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Albay,0,223110,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Camarines Norte,1,2710,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Camarines Sur,0,146697,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Catanduanes,1,13349,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Sorsogon,0,1281,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Zamboanga del Sur,0,8258,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Bukidnon,0,596,56,43,99,0,1422000,Violent typhoon
2011,Songda,Chedeng,Davao del Norte,0,48015,27,0,27,5488125,8823374,Violent typhoon
2011,Songda,Chedeng,Davao Oriental,0,40,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Benguet,2,0,0,0,0,0,0,Violent typhoon
2011,Songda,Chedeng,Lanao del Sur,0,0,0,5,5,0,0,Violent typhoon
2011,Dodong,,Batangas,1,1086,36,300,336,0,0,Tropical storm
2011,Dodong,,Romblon,1,0,0,0,0,0,0,Tropical storm
2011,Dodong,,Zambales,0,0,0,0,0,0,0,Tropical storm
2011,Dodong,,Cavite,0,40,0,0,0,0,0,Tropical storm
2011,Dodong,,Metro Manila,0,25,0,0,0,0,0,Tropical storm
2011,Meari,Falcon,Metro Manila,0,72687,0,22,22,0,0,Severe tropical storm
2011,Meari,Falcon,Pangasinan,0,78580,0,0,0,0,0,Severe tropical storm
2011,Meari,Falcon,Bataan,4,190134,8,25,33,17635700,1301257,Severe tropical storm
2011,Meari,Falcon,Bulacan,2,511207,61,33,94,70800000,80256771,Severe tropical storm
2011,Meari,Falcon,Nueva Ecija,0,40085,0,0,0,48500000,34151272.25,Severe tropical storm
2011,Meari,Falcon,Pampanga,3,592172,1,13,14,120030000,34212657,Severe tropical storm
